;INVENTARIO DE PRODUCTOS;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;CODIGO;NOMBRE;CATEGORIA;FABRICANTE;DESCRIPCIÓN; PRECIO VENTA ; PRECIO COMPRA ; UNIDAD ;STOCK EN ALMACEN;FECHA INGRESO;ENTRADA;SALIDA;STOCK; IMPORTE INVENTARIO ; PROVEEDOR ; Columna1 
;R_0059;arandela Neopreno 12;;;;S/ 70.00;S/ 20.00; millar ;2;20/02/2025;0;0;2; S/. 140.00 ;alfa;
;R_0060;Arandela pesada 1/4;;;;S/ 12.00;S/ 6.00;Kg;1;;0;0;1; S/. 12.00 ;;
;R_0061;Arandela Pesada 3/8;;;3/8 zincado;S/ 15.00;S/ 7.50; kg ;1;24/03/2025;0;0;1; S/. 15.00 ;Negociaciones generales cia;
;R_0062;ARANDELA PLANA PESADA ZINCADO;;;1-Feb;;S/ 7.50; KG ;1;4/07/2024;0;0;1; S/. -   ;;
;R_0063;"Arco de sierra 12""";;PRETUL;"M/AMARILLO 12""";S/ 18.00;S/ 11.36; unidad ;3;17/05/2024;0;0;3; S/. 54.00 ;;
;R_0064;ARCODE SIERRA ;;EUROTOOLS;;S/ 16.00;S/ 12.85; unidad ;6;11/10/2024;0;0;6; S/. 96.00 ;;
;R_0065;Armella C. 1 1/2;;;;S/ 25.00;S/ 15.30; ciento ;1;20/02/2025;0;0;1; S/. 25.00 ;alfa;
;R_0066;armella cerrada 1 1/2;;;;;S/ 15.50; ciento ;1;;0;0;1; S/. -   ;;
;R_0067;ASK09002 WINCHA PLASTICA CINTA METRICA 5M;;;;S/ 7.00;S/ 5.09;;12;;0;0;12; S/. 84.00 ;;
;R_0068;atomizador;;;chisguete rociador;S/ 2.00;;;15;;0;0;15; S/. 30.00 ;;
;R_0069;Azufre en polvo;;derquin;kg;S/ 8.50;S/ 5.50;;;;0;0;0; S/. -   ;;
;R_0070;"Badilejo 7""";;C&A;m/madera;S/ 6.00;S/ 3.00; unidad ;3;12/12/2024;0;0;3; S/. 18.00 ;ardiles;
;R_0071;Balanza 5Kg;;;;S/ 20.00;S/ 13.90; unidad ;2;19/08/2024;0;0;2; S/. 40.00 ;Ferretools;
;R_0072;Baldosa vinil 60x60;;;drywall;S/ 55.00;S/ 35.00;caja;;;0;0;0; S/. -   ;;
;R_0073;Barniz Marino;;Issa;;S/ 56.00;S/ 46.00;GALON;4;1/07/2024;0;0;4; S/. 224.00 ;;
